x/c,y/c,Tap #,DSA Channel #
1,0,-,1
0.95,0.0147,-,-
0.90,0.0271,-,-
0.80,0.0489,1,2
0.70,0.0669,-,-
0.60,0.0814,2,3
0.50,0.0919,-,-
0.40,0.0980,3,4
0.30,0.0976,4,5
0.25,0.0941,-,-
0.20,0.0880,5,6
0.15,0.0789,-,-
0.10,0.0659,6,7
0.075,0.0576,-,-
0.05,0.0473,7,8
0.025,0.0339,-,-
0.0125,0.0244,-,-
0,0,8,9
0.0125,-0.0143,-,-
0.025,-0.0195,-,-
0.05,-0.0249,9,10
0.075,-0.0274,-,-
0.10,-0.0286,-,-
0.15,-0.0288,10,11
0.20,-0.0274,-,-
0.25,-0.0250,11,12
0.30,-0.0226,-,-
0.35,-0.0203,12,13
0.40,-0.0180,-,-
0.50,-0.0140,13,14
0.60,-0.0100,-,-
0.65,-0.00825,14,15
0.70,-0.0065,-,-
0.80,-0.0039,-,-
0.90,-0.0022,-,-
0.95,-0.0016,-,-
1,0,-,16
