AoA, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8, Channel 9, Channel 10, Channel 11, Channel 12, Channel 13, Channel 14, Channel 15, Channel 16
-20, -69.206436, -886.344971, -851.163147, -788.391968, -639.438721, -674.0448, -545.104919, -455.617615, -817.457642, -919.410156, -917.260193, -931.250916, -915.066284, -917.640259, -924.629456, -701.653625
-18, -69.603416, -882.826111, -854.786499, -802.204224, -657.729126, -692.203796, -564.708801, -474.265839, -769.434509, -917.917847, -909.879089, -919.090088, -900.592102, -895.604675, -912.701416, -701.046265
-16, -69.735741, -876.179016, -865.009338, -825.352478, -684.256409, -727.949585, -600.341919, -502.057648, -688.143372, -895.648071, -892.579407, -907.257996, -891.658875, -885.664734, -900.205261, -704.690308
-14, -69.471085, -861.451416, -855.433472, -827.526611, -692.366272, -740.803284, -627.09552, -526.480774, -650.031555, -877.166443, -872.281311, -894.111145, -872.887756, -882.670776, -890.435547, -707.48407
-12, -69.471085, -852.849426, -857.245178, -835.967346, -704.826782, -763.572937, -647.04541, -549.219543, -604.146973, -883.480042, -887.158936, -896.302307, -884.421753, -886.622742, -881.006714, -711.249634
-10, -69.868073, -827.043518, -840.810913, -837.118408, -712.206299, -769.693848, -658.807739, -561.731873, -602.893311, -905.29071, -914.146301, -929.717102, -914.387939, -905.664368, -881.1203, -714.164734
-8, -69.338768, -781.817993, -810.918762, -817.423279, -696.600464, -768.714478, -663.881714, -566.544373, -611.9198, -958.669312, -951.052124, -956.01062, -924.338806, -893.449097, -836.36145, -719.266479
-6, -69.338768, -790.680664, -823.341492, -839.164673, -725.997559, -803.113708, -703.976379, -602.036072, -647.022705, -1142.911865, -838.143433, -806.465759, -767.384766, -740.996155, -722.64679, -720.359741
-4, -69.603416, -825.349243, -855.562866, -885.972595, -781.283508, -876.196716, -790.948059, -697.061523, -480.65976, -887.038574, -841.026672, -762.204834, -737.758057, -715.248047, -699.358582, -712.342773
-2, -69.471085, -854.283081, -871.738403, -919.991577, -820.11676, -933.855286, -876.999329, -807.10968, -429.760468, -809.553406, -758.565247, -743.251526, -717.969238, -698.122498, -689.475281, -708.33429
0, -68.941788, -794.851318, -898.654114, -947.871765, -857.740173, -984.53595, -945.909546, -900.596619, -435.276642, -753.534546, -724.081421, -721.230591, -701.911987, -687.940369, -683.784668, -707.605469
2, -69.868073, -797.197266, -958.438477, -983.297546, -902.622131, -1055.6604, -1054.969238, -1045.087402, -504.855743, -681.313965, -675.723755, -686.276245, -673.832764, -671.492249, -670.5802, -705.540527
4, -68.941788, -809.448608, -891.019409, -1026.268799, -939.76178, -1119.562134, -1155.515869, -1196.658569, -669.588928, -619.42865, -636.410645, -653.779358, -648.443604, -651.80249, -659.993896, -699.588623
6, -68.941788, -813.879883, -915.864807, -1088.807495, -996.257446, -1185.055298, -1265.725952, -1365.631226, -924.884216, -566.630554, -601.606934, -625.125061, -625.207947, -634.273804, -647.244873, -695.5802
8, -68.941788, -799.803955, -917.417725, -1053.765259, -1006.298462, -1205.25415, -1351.202271, -1476.511597, -1122.104004, -540.17395, -588.078613, -616.891052, -614.10022, -628.39093, -640.98407, -686.950623
10, -70.000397, -791.592957, -874.455811, -1023.199463, -995.047668, -1213.700806, -1282.292114, -1607.751831, -1283.931763, -523.724915, -569.000183, -606.680969, -605.599365, -629.591492, -653.050232, -693.150818
12, -69.471085, -817.398987, -834.08197, -963.218689, -949.802673, -1197.052124, -1260.434082, -1714.813354, -1443.235474, -510.036499, -557.784363, -593.067383, -604.692627, -629.951721, -649.749146, -686.950623
14, -68.941788, -844.768799, -861.386108, -906.051514, -886.411438, -1153.594116, -1284.937988, -1806.476929, -1602.182495, -494.852722, -553.04364, -587.578064, -596.985168, -623.588562, -656.123657, -685.002258
16, -69.338768, -956.724792, -965.296875, -949.022766, -818.181091, -957.359375, -949.360779, -949.920288, -788.693726, -551.216736, -592.24115, -626.881653, -633.028748, -658.405762, -697.313782, -674.164001
18, -69.471085, -976.926514, -956.368042, -943.523499, -821.326416, -961.521606, -957.413757, -954.240601, -830.088745, -527.06073, -574.897156, -610.08429, -617.727173, -658.16571, -696.177734, -669.658203
20, -69.338768, -970.670471, -971.249451, -956.184692, -832.214233, -959.562866, -956.493286, -960.96106, -877.986633, -501.294342, -554.084229, -595.812073, -612.853455, -646.279785, -688.565552, -664.665283
