AoA,C_P_upper,C_P_lower,Cn
-20.0,-0.049673,-0.208545,-0.158872
-18.0,-0.062035,-0.196348,-0.134313
-16.0,-0.078238,-0.180838,-0.102601
-14.0,-0.076766,-0.165781,-0.089015
-12.0,-0.081161,-0.167515,-0.086354
-10.0,-0.072895,-0.186576,-0.113681
-8.0,-0.043732,-0.189727,-0.145995
-6.0,-0.072018,-0.080524,-0.008506
-4.0,-0.140837,-0.046457,0.094381
-2.0,-0.196104,-0.018809,0.177295
0.0,-0.232687,0.000225,0.232912
2.0,-0.308824,0.028311,0.337135
4.0,-0.35379,0.049968,0.403758
6.0,-0.4385,0.070743,0.509243
8.0,-0.47102,0.072431,0.54345
10.0,-0.449086,0.08427,0.533357
12.0,-0.436332,0.08388,0.520212
14.0,-0.437749,0.087143,0.524891
16.0,-0.330166,0.039478,0.369643
18.0,-0.339066,0.04576,0.384826
20.0,-0.355917,0.053332,0.409249
